Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020]
Ukraine,UKR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..
Ukraine,UKR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,..
Ukraine,UKR,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,100,..
Ukraine,UKR,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,100,..
Ukraine,UKR,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,..,..
Ukraine,UKR,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,..,..
Ukraine,UKR,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..
Ukraine,UKR,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..
Ukraine,UKR,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..
Ukraine,UKR,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..
Ukraine,UKR,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..
Ukraine,UKR,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..
Ukraine,UKR,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..
Ukraine,UKR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.66712478688946,..
Ukraine,UKR,Adjusted net national income (constant 2010 US$),NY.ADJ.NNTY.KD,138562623414.791,..
Ukraine,UKR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,138780220150.033,..
Ukraine,UKR,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,4.26403238510784,..
Ukraine,UKR,Adjusted net national income per capita (constant 2010 US$),NY.ADJ.NNTY.PC.KD,3296.92712305776,..
Ukraine,UKR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3302.10456962039,..
Ukraine,UKR,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,-1.06121557133454,..
Ukraine,UKR,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,-1682387493.8595,..
Ukraine,UKR,"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS,-1.27325022540956,..
Ukraine,UKR,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,-2018534512.35079,..
Ukraine,UKR,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,5.18195783996734,..
Ukraine,UKR,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,8215165042.01383,..
Ukraine,UKR,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,11.9221580541458,..
Ukraine,UKR,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,18900674049.5596,..
Ukraine,UKR,Adjusted savings: education expenditure (% of GNI),NY.ADJ.AEDU.GN.ZS,4.88300724584099,..
Ukraine,UKR,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,7741226707.12155,..
Ukraine,UKR,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,0.518428943046211,..
Ukraine,UKR,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,821886140.568879,..
Ukraine,UKR,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,11.69800979,..
Ukraine,UKR,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0196927219642367,..
Ukraine,UKR,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,31219659.838783,..
Ukraine,UKR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.538121665010448,..
Ukraine,UKR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0,..
Ukraine,UKR,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,0,..
Ukraine,UKR,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,-0.224143312197738,..
Ukraine,UKR,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,-355343358.559563,..
Ukraine,UKR,Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,0.212034654075018,..
Ukraine,UKR,Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,336147018.491289,..
Ukraine,UKR,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,22.2942,..
